original,translation,phonetics,format,notes
יִתְבָּרַךְ,Sea bendito,yitbaraj,,
וְיִשְׁתַּבַּח,y alabado,veyishtabaj,,
וְיִתְפָּאַר,y glorificado,veyitpaar,,
וְיִתְרוֹמַם,y ensalzado,veyitromam,,
וְיִתְנַשֵּׂא,y elevado,veyitnasé,,
וְיִתְהַדָּר,y honrado,veyithadar,,
וְיִתְעַלֶּה,y excelso,veyitalé,,
וְיִתְהַלָּל,y loado,veyithalal,,
שְׁמֵהּ,el Nombre de,shemeh,,
דְקוּדְשָׁא,"el Santo,",dekudeshá,,
בְּרִיךְ,bendito,berij,,
הוּא,"[es] Él,",hu,,
לְעֵֽלָּא,por encima,leela,,
מִן־כָּל־,de todas [las],min-kol-,,
"(בעשי""ת",([en los] Diez Días de Teshuvá:,"(vshy""t",,
לְעֵֽלָּא,por encima,leela,,
לְעֵֽלָּא,por encima,leela,,
מִכָּל),de todas [las]),mikal),,
בִּרְכָתָֽא,bendiciones,birjatá,,
וְשִׁירָתָֽא,"y cánticos,",veshiratá,,
תֻּשְׁבְּ֒חָתָֽא,alabanzas,tushbejatá,,
וְנֶחָמָתָֽא,y consolaciones,venejamatá,,
דַּאֲמִירָן,que son dichas,daamirán,,
בְּעָלְ֒מָֽא,"en el mundo,",beolmá,,
וְאִמְרוּ,y digan:,veimrú,,
אָמֵן:,amén.,amén:,,
,,,break,
עַל,Sobre,al,,
יִשְׂרָאֵל,"Israel,",yisrael,,
וְעַל,y sobre,veal,,
רַבָּנָן,"[los] rabinos,",rabanán,,
וְעַל,y sobre,veal,,
תַלְמִידֵיהוֹן,"sus discípulos,",talmideihón,,
וְעַל,y sobre,veal,,
כָּל,todos,kol,,
תַּלְמִידֵי,los discípulos de,talmidéi,,
תַלְמִידֵיהוֹן.,"sus discípulos,",talmideihón.,,
וְעַל,y sobre,veal,,
כָּל,todo,kol,,
מָאן,aquel que,man,,
דְּעָסְ֒קִין,se ocupan,deoskin,,
בְּאוֹרַיְתָא.,"de [la] Torá,",beoraytá.,,
דִּי,que,di,,
בְאַתְרָא,en [el] lugar,veatrá,,
הָדֵין,este [están],hadéin,,
וְדִי,y que,vedí,,
בְכָל,en todo,vejol,,
אֲתַר,lugar,atar,,
וַאֲתַר.,y lugar:,vaatar.,,
יְהֵא,haya,yehé,,
לְהוֹן,para ellos,lehón,,
וּלְכוֹן,y para ustedes,ulejón,,
שְׁלָמָא,paz,shelamá,,
רַבָּא,"abundante,",rabá,,
חִנָּא,favor,jiná,,
וְחִסְדָּא,"y bondad,",vejisdá,,
וְרַחֲמִין,"y misericordia,",verajamín,,
וְחַיִּין,y vida,vejayín,,
אֲרִיכִין,"larga,",arijín,,
וּמְזוֹנָא,y sustento,umezoná,,
רְוִיחֵי,"amplio,",revijéi,,
וּפוּרְקָנָא,y redención,ufurekaná,,
מִן,de,min,,
קֳדָם,ante,kodam,,
אֲבוּהוֹן,su Padre,avuhón,,
דְבִשְׁמַיָּא,que [está] en el cielo,devishmayá,,
(וְאַרְעָא),"(y [la] tierra),",(veará),,
וְאִמְרוּ,y digan:,veimrú,,
אָמֵן:,amén.,amén:,,
,,,break,
יְהֵא,Haya,yehé,,
שְׁלָמָֽא,paz,shelamá,,
רַבָּֽא,abundante,rabá,,
מִן־שְׁמַיָּֽא,desde el cielo,min-shemayá,,
וְחַיִּים,y vida,vejayim,,
עָלֵֽינוּ,sobre nosotros,aleinu,,
וְעַל־כָּל־יִשְׂרָאֵל,"y sobre todo Israel,",veal-kol-yisrael,,
וְאִמְרוּ,y digan:,veimrú,,
אָמֵן:,amén.,amén:,,
,,,break,
עוֹשֶׂה,Quien hace,osé,,
שָׁלוֹם,paz,shalom,,
"(בעשי""ת",([en los] Diez Días de Teshuvá:,"(vshy""t",,
הַשָּׁלוֹם),[la] paz),hashalom),,
בִּמְרוֹמָיו,"en Sus alturas,",bimromayv,,
הוּא,Él,hu,,
יַעֲשֶׂה,hará,yaasé,,
שָׁלוֹם,paz,shalom,,
עָלֵֽינוּ,sobre nosotros,aleinu,,
וְעַל,y sobre,veal,,
כָּל,todo,kol,,
יִשְׂרָאֵל,"Israel,",yisrael,,
וְאִמְרוּ,y digan:,veimrú,,
אָמֵן:,amén.,amén:,,
