original,translation,phonetics,format,notes
אֱלֹהֵֽינוּ,nuestro Dios,eloheinu,,
יַפְרִֽיחוּ:,florecerán.,yafriju:,,
עוֹד,Aún,od,,
יְנוּבוּן,darán fruto,yenuvún,,
בְּשֵׂיבָה,en [la] vejez;,beseivá,,
דְּשֵׁנִים,robustos,deshenim,,
וְרַעֲנַנִּים,y frescos,veraananim,,
יִהְיוּ:,"serán,",yihyú:,,
לְהַגִּיד,para anunciar,lehagid,,
כִּי־יָשָׁר,que recto [es],ki-yashar,,
יְהֹוָה,"Adonai,",Adonai,,
צוּרִי,"mi Roca,",tzurí,,
וְלֹא־עַוְלָֽתָה,y no [hay] injusticia,veló-avlata,,
בּוֹ:,en Él.,bo:,,
