original,translation,phonetics,format,notes
וְנֵלְ֒כָה.,"y vayamos,",venelja.,,
כִּי,pues,ki,,
הִיא,ella [es],hi,,
מְקוֹר,[la] fuente de,mekor,,
הַבְּ֒רָכָה.,[la] bendición.,habéraja.,,
מֵרֹאשׁ,"Desde [el] principio,",merosh,,
מִקֶּֽדֶם,"desde antaño,",mikédem,,
נְסוּכָה.,fue establecida;,nesujá.,,
סוֹף,[el] final de,sof,,
מַעֲשֶׂה,"[la] obra,",maasé,,
בְּמַחֲשָׁבָה,en [el] pensamiento,bemajashavá,,
תְּחִלָּה:,[fue el] comienzo.,tejilá:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
מִקְדַּשׁ,Santuario de,mikdash,,
מֶֽלֶךְ,"[el] Rey,",mélej,,
עִיר,ciudad de,ir,,
מְלוּכָה.,realeza:,melujá.,,
קֽוּמִי,"levántate,",kumi,,
צְאִי,sal,tzeí,,
מִתּוֹךְ,de entre,mitoj,,
הַהֲפֵכָה.,[la] devastación.,hahafejá.,,
רַב,Mucho [ha sido],rav,,
לָךְ,para ti,loj,,
שֶֽׁבֶת,habitar,shévet,,
בְּעֵֽמֶק,en [el] valle de,beémek,,
הַבָּכָא.,el llanto;,habajá.,,
וְהוּא,y Él,vehú,,
יַחְמוֹל,tendrá compasión,yajmol,,
עָלַֽיִךְ,de ti,aláyij,,
חֶמְלָה:,[con] compasión.,jemlá:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
הִתְנַעֲרִי,Sacúdete,hitnaarí,,
מֵעָפָר,"del polvo,",meafar,,
קֽוּמִי.,levántate;,kumi.,,
לִבְשִׁי,viste,livshí,,
בִּגְדֵי,[las] vestiduras de,bigdéi,,
תִפְאַרְתֵּךְ,"tu gloria,",tifartej,,
עַמִּי.,pueblo mío.,amí.,,
עַל,Por,al,,
יַד,medio de,yad,,
בֶּן,[el] hijo de,ben,,
יִשַּׁי,"Ishai,",yishay,,
בֵּית,Casa de,beit,,
הַלַּחְמִי.,"el Lajmí,",halajmí.,,
קָרְבָה,acércate,korvá,,
אֶל,a,el,,
נַפְשִׁי,mi alma;,nafshí,,
גְּאָלָהּ:,redímela.,gealah:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
הִתְעוֹרְ֒רִי.,"Despierta,",hitorri.,,
הִתְעוֹרְ֒רִי.,"despierta,",hitorri.,,
כִּי,pues,ki,,
בָא,llegó,va,,
אוֹרֵךְ,tu luz;,orej,,
קֽוּמִי,"levántate,",kumi,,
אֽוֹרִי.,resplandece.,ori.,,
עֽוּרִי,"Despierta,",uri,,
עֽוּרִי,"despierta,",uri,,
שִׁיר,[un] canto,shir,,
דַּבֵּֽרִי.,pronuncia;,daberi.,,
כְּבוֹד,[la] gloria de,kevod,,
יְהֹוָה,Adonai,Adonai,,
עָלַֽיִךְ,sobre ti,aláyij,,
נִגְלָה:,se reveló.,niglá:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
לֹא,No,lo,,
תֵבֽוֹשִׁי,te avergonzarás,tévoshi,,
וְלֹא,y no,veló,,
תִכָּלְ֒מִי.,serás humillada.,tikolmi.,,
מַה,¿Por qué,ma,,
תִּשְׁתּוֹחֲחִי,te abates,tishtojají,,
וּמַה,y por qué,umá,,
תֶּהֱמִי.,gimes?,tehemí.,,
בָּךְ,En ti,boj,,
יֶחֱסוּ,se refugiarán,yejesú,,
עֲנִיֵּי,[los] pobres de,aniyéi,,
עַמִּי.,"mi pueblo,",amí.,,
וְנִבְנְ֒תָה,y será construida,venivneta,,
עִיר,[la] ciudad,ir,,
עַל,sobre,al,,
תִּלָּהּ:,su montículo.,tilah:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
וְהָיוּ,Y serán,vehayú,,
לִמְשִׁסָּה,para despojo,limshisá,,
שֹׁסָֽיִךְ.,quienes te despojaron;,shosáyij.,,
וְרָחֲקוּ,y se alejarán,verajakú,,
כָּל,todos,kol,,
מְבַלְּ֒עָֽיִךְ.,quienes te devoraron.,mevaleáyij.,,
יָשִׂישׂ,Se regocijará,yasís,,
עָלַֽיִךְ,por ti,aláyij,,
אֱלֹהָֽיִךְ.,"tu Dios,",eloháyij.,,
כִּמְשׂוֹשׂ,como [el] regocijo de,kimsós,,
חָתָן,[el] novio,jatán,,
עַל,por,al,,
כַּלָּה:,[la] novia.,kalá:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
יָמִין,[la] derecha,yamín,,
וּשְׂמֹאל,y [la] izquierda,usemol,,
תִּפְרֽוֹצִי.,"te extenderás,",tífrotzi.,,
וְאֶת,y [a],veet,,
יְהֹוָה,Adonai,Adonai,,
תַּעֲרִֽיצִי.,exaltarás;,taaritzi.,,
עַל,por,al,,
יַד,medio de,yad,,
אִישׁ,[el] hombre,ish,,
בֶּן,hijo de,ben,,
פַּרְצִי.,"Peretz,",partzí.,,
וְנִשְׂמְ֒חָה,y nos alegraremos,venismeja,,
וְנָגִֽילָה:,y regocijaremos.,venagila:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
בּֽוֹאִי,Ven,boi,,
בְשָׁלוֹם,"en paz,",veshalom,,
עֲטֶֽרֶת,corona de,atéret,,
בַּעְלָהּ.,su esposo;,balah.,,
גַּם,también,gam,,
בְּשִׂמְחָה,con alegría,besimjá,,
וּבְצָהֳלָה.,"y júbilo,",uvetzaholá.,,
תּוֹךְ,en medio de,toj,,
אֱמוּנֵי,[los] fieles de,emunéi,,
עַם,[el] pueblo de,am,,
סְגֻלָּה.,[la] posesión preciada.,segulá.,,
בֹּֽאִי,"Ven,",boi,,
כַלָּה,"novia,",jalá,,
בֹּֽאִי,"ven,",boi,,
כַלָּה,"novia,",jalá,,
בֹּֽאִי,"ven,",boi,,
כַלָּה,"novia,",jalá,,
שַׁבָּת,"Shabat,",shabat,,
מַלְכְּתָא:,[la] Reina.,malketá:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
