original,translation,phonetics,format,notes
לָא יֵעוֹל,no alcanzaría,la yeol,,
גְּבוּרְתֵּךְ בְּחוּשְׁבָּנַיָּא.,a contar Tu poder.,gevurtekh be-chushbanayya,,
,,,break,
יָהּ רִבּוֹן,"Yah, Señor",Yah ribon,,
עָלַם וְעָלְמַיָּא.,del mundo y de los mundos.,alam ve-almaya,,
אַנְתְּ הוּא,Tú eres,ant hu,,
מַלְכָּא,"el Rey,",malka,,
מֶֽלֶךְ מַלְכַיָּא:,Rey de los reyes.,melekh malkhaya,,
,,,break,
אֱלָהָא,"Dios,",Elaha,,
דִּי לֵהּ,a quien pertenecen,di leh,,
יְקָר וּרְבוּתָא.,"honor y grandeza,",yekar u-revuta,,
פְּרוֹק יַת עָנָךְ,redime a Tu rebaño,perok yat anakh,,
מִפּוּם אַרְיְוָתָא.,de la boca de los leones.,mi-pum aryevata,,
וְאַפֵּק יַת עַמָּךְ,y saca a Tu pueblo,ve-apek yat amakh,,
מִגּוֹ גָלוּתָא.,"de en medio del exilio,",mi-go galuta,,
עַמֵּךְ,"Tu pueblo,",amakh,,
דִּי בְחַרְתְּ,que elegiste,di vechart,,
מִכָּל אֻמַּיָּא.,de todos los pueblos.,mi-kol umayya,,
,,,break,
יָהּ רִבּוֹן,"Yah, Señor",Yah ribon,,
עָלַם וְעָלְמַיָּא.,del mundo y de los mundos.,alam ve-almaya,,
אַנְתְּ הוּא,Tú eres,ant hu,,
מַלְכָּא,"el Rey,",malka,,
מֶֽלֶךְ מַלְכַיָּא:,Rey de los reyes.,melekh malkhaya,,
,,,break,
לְמִקְדָּשֵׁךְ תּוּב,A Tu Templo vuelve,le-mikdashekh tuv,,
וּלְקֹֽדֶשׁ קֻדְשִׁין.,"y al Santo de los Santos,",u-le-kodesh kudshin,,
אֲתַר דִּי בֵיהּ,el lugar en que,atar di veh,,
יֶחֱדוּן רוּחִין וְנַפְשִׁין.,"se alegrarán espíritus y almas,",yechedun ruchin ve-nafshin,,
וִיזַמְּ֒רוּן לָךְ,y cantarán para Ti,vi-zammerun lakh,,
שִׁירִין וְרַחֲשִׁין.,"cantos y alabanzas,",shirin ve-rachashin,,
בִּירוּשְׁ֒לֵם,"en Jerusalén,",bi-rushlem,,
קַרְתָּא דְשׁוּפְרַיָּא.,la ciudad de hermosura.,karta de-shufrayya,,
,,,break,
יָהּ רִבּוֹן,"Yah, Señor",Yah ribon,,
עָלַם וְעָלְמַיָּא.,del mundo y de los mundos.,alam ve-almaya,,
אַנְתְּ הוּא,Tú eres,ant hu,,
מַלְכָּא,"el Rey,",malka,,
מֶֽלֶךְ מַלְכַיָּא:,Rey de los reyes.,melekh malkhaya,,
