original,translation,phonetics,format,notes
יְרַנְּנוּ עַל מִשְׁכְּבֹתָם,cantarán sobre sus lechos,yeranenu al mishkevotam,,
וּכְתִיב,y está escrito,u-jetiv,,
אִם תִּשְׁכַּב לֹא תִפְחָד,si te acuestas no temerás,im tishkav lo tifjad,,
וְשָׁכַבְתָּ,y te acostarás,ve-shajavta,,
וְעָרְבָה שְׁנָתֶךָ,y será dulce tu sueño,ve-arevah shenateja,,
,,,break,
וְתִשְׁמוֹר אוֹתָהּ,y protégela,ve-tishmor otah,,
מֵחִבּוּט הַקֶּבֶר,del sufrimiento de la tumba,me-jibut ha-kever,,
וּמֵרִמָּה וְתוֹלֵעָה,y de larva y gusano,u-me-rimah ve-tole'ah,,
וְתִסְלַח וְתִמְחוֹל לָהּ,y perdónala y absuélvela,ve-tislaj ve-timjol lah,,
עַל כָּל פְּשָׁעֶיהָ,por todas sus transgresiones,al kol pesha'eha,,
כִּי אָדָם אֵין צַדִּיק בָּאָרֶץ,porque no hay hombre justo en la tierra,ki adam ein tzadik ba-aretz,,
אֲשֶׁר יַעֲשֶׂה טוֹב,que haga el bien,asher ya'aseh tov,,
וְלֹא יֶחֱטָא,y no peque,ve-lo yejeta,,
וּזְכוֹר לָהּ,y recuérdale,u-zejor lah,,
זְכֻיּוֹתֶיהָ וְצִדְקוֹתֶיהָ,sus méritos y sus obras justas,zeju-yoteha ve-tzidkoteha,,
אֲשֶׁר עָשְׂתָה,que hizo,asher asetah,,
וְתַשְׁפִּיעַ לָהּ,y derrama para ella,ve-tashpia lah,,
מִנִּשְׁמָתָהּ,desde su alma,mi-nishmatah,,
לְדַשֵּׁן עַצְמוֹתֶיהָ בַּקֶּבֶר,para vivificar sus huesos en la tumba,le-dashen atzmoteha ba-kever,,
מֵרֹב טוּב הַצָּפוּן,con la abundancia del bien oculto,me-rov tuv ha-tzafun,,
לַצַּדִּיקִים,para los justos,la-tzadikim,,
דִּכְתִיב,pues está escrito,dijtiv,,
מָה רַב טוּבְךָ,Cuán grande [es] Tu bien,mah rav tuveja,,
אֲשֶׁר צָפַנְתָּ לִירֵאֶיךָ,que escondiste para quienes Te temen,asher tzafanta li-yere'eja,,
וּכְתִיב,y está escrito,u-jetiv,,
שֹׁמֵר כָּל עַצְמוֹתָיו,Él guarda todos sus huesos,shomer kol atzmotav,,
אַחַת מֵהֵנָּה לֹא נִשְׁבָּרָה,ni uno de ellos fue quebrado,ajat me-henah lo nishbarah,,
וְתִשְׁכּוֹן בֶּטַח בָּדָד,y que habite segura y apartada,ve-tishkon betaj badad,,
וְשַׁאֲנָן מִפַּחַד רָעָה,y tranquila del miedo al mal,ve-sha'anan mi-pajad ra'ah,,
וְאַל תִּרְאֶה פְּנֵי גֵּיהִנֹּם,y que no vea el rostro del Guehinom,ve-al tir'eh penei Gehinom,,
וְנִשְׁמָתָהּ תְּהֵא,y que su alma sea,ve-nishmatah tehe,,
צְרוּרָה בִּצְרוֹר הַחַיִּים,atada en el vínculo de la vida,tzerurah bi-tzror ha-jayim,,
וּלְהַחֲיוֹתָהּ,y para hacerla vivir,u-le-hajayotah,,
בִּתְחִיַּת הַמֵּתִים,en la resurrección de los muertos,bi-tejiyat ha-metim,,
עִם כָּל מֵתֵי עַמְּךָ יִשְׂרָאֵל,con todos los muertos de Tu pueblo Israel,im kol metei ameja Yisrael,,
בְּרַחֲמִים אָמֵן,con misericordia amén,be-rajamim amen,,
