original,translation,phonetics,format,notes
מט ט,,,verse,
וְיֵקַר פִּדְיוֹן נַפְשָׁם,Y costosa [es] la redención de su alma,ve-yekar pidyon nafsham,,
וְחָדַל לְעוֹלָם,y cesa para siempre,ve-jadal le-olam,,
מט י,,,verse,
וִיחִי עוֹד לָנֶצַח,para que viva aún eternamente,vi-ji od la-netzaj,,
לֹא יִרְאֶה הַשָּׁחַת,y no vea la fosa,lo yir'eh ha-shajat,,
מט יא,,,verse,
כִּי יִרְאֶה,Porque verá,ki yir'eh,,
חֲכָמִים יָמוּתוּ,que los sabios mueren,jajamim yamutu,,
יַחַד כְּסִיל וָבַעַר יֹאבֵדוּ,juntos el necio y el ignorante perecen,yajad kesil va-va'ar yovedu,,
וְעָזְבוּ לַאֲחֵרִים חֵילָם,y dejan a otros su riqueza,ve-azvu la-ajerim jeilam,,
מט יב,,,verse,
קִרְבָּם בָּתֵּימוֹ לְעוֹלָם,Su pensamiento interior [es que] sus casas [durarán] para siempre,kirbam bateimo le-olam,,
מִשְׁכְּנֹתָם לְדֹר וָדֹר,sus moradas de generación en generación,mishkenotam le-dor va-dor,,
קָרְאוּ בִשְׁמוֹתָם עֲלֵי אֲדָמוֹת,llaman tierras con sus nombres,kar'u vi-shmotam alei adamot,,
מט יג,,,verse,
וְאָדָם בִּיקָר,Y el hombre en honor,ve-adam bikar,,
בַּל יָלִין,no pernoctará,bal yalin,,
נִמְשַׁל כַּבְּהֵמוֹת נִדְמוּ,se parece a los animales que desaparecen,nimshal ka-behemot nidmu,,
מט יד,,,verse,
זֶה דַרְכָּם,Este [es] su camino,ze darkam,,
כֵּסֶל לָמוֹ,necedad para ellos,kesel lamo,,
וְאַחֲרֵיהֶם,y después de ellos,ve-ajareihem,,
בְּפִיהֶם יִרְצוּ סֶלָה,otros aprueban sus palabras por siempre,be-fihem yirtzu selah,,
מט טו,,,verse,
כַּצֹּאן לִשְׁאוֹל שַׁתּוּ,Como ovejas son puestos en el abismo,ka-tzon lishol shatu,,
מָוֶת יִרְעֵם,la muerte los pastoreará,mavet yir'em,,
וַיִּרְדּוּ בָם יְשָׁרִים לַבֹּקֶר,y los rectos dominarán sobre ellos por la mañana,va-yirdu vam yesharim la-boker,,
וְצוּרָם לְבַלּוֹת שְׁאוֹל,y su forma se consumirá en el abismo,ve-tzuram le-valot sheol,,
מִזְּבֻל לוֹ,lejos de su morada,mizvul lo,,
מט טז,,,verse,
אַךְ אֱלֹהִים,Pero Dios,aj Elohim,,
יִפְדֶּה נַפְשִׁי,redimirá mi alma,yifdeh nafshi,,
מִיַּד שְׁאוֹל,de la mano del abismo,mi-yad sheol,,
כִּי יִקָּחֵנִי סֶלָה,porque me tomará por siempre,ki yikajeni selah,,
מט יז,,,verse,
אַל תִּירָא,No temas,al tira,,
כִּי יַעֲשִׁר אִישׁ,cuando un hombre se enriquezca,ki ya'ashir ish,,
כִּי יִרְבֶּה כְּבוֹד בֵּיתוֹ,cuando aumente la gloria de su casa,ki yirbeh kevod beito,,
מט יח,,,verse,
כִּי לֹא בְמוֹתוֹ יִקַּח הַכֹּל,porque al morir no tomará todo,ki lo ve-moto yikaj ha-kol,,
לֹא יֵרֵד אַחֲרָיו כְּבוֹדוֹ,no descenderá tras él su gloria,lo yered ajarav kevodo,,
מט יט,,,verse,
כִּי נַפְשׁוֹ בְּחַיָּיו יְבָרֵךְ,Aunque bendiga su alma en su vida,ki nafsho be-jayav yevarej,,
וְיוֹדֻךָ כִּי תֵיטִיב לָךְ,y te alaben cuando te haces bien,ve-yodujah ki teitiv laj,,
מט כ,,,verse,
תָּבוֹא עַד דּוֹר אֲבוֹתָיו,llegará hasta la generación de sus padres,tavo ad dor avotav,,
עַד נֵצַח לֹא יִרְאוּ אוֹר,hasta la eternidad no verán luz,ad netzaj lo yir'u or,,
מט כא,,,verse,
אָדָם בִּיקָר וְלֹא יָבִין,El hombre en honor que no entiende,adam bikar ve-lo yavin,,
נִמְשַׁל כַּבְּהֵמוֹת נִדְמוּ,se parece a los animales que desaparecen,nimshal ka-behemot nidmu,,
