original,translation,phonetics,format,notes
17,,,subchapter,
,"se presentarán los dos hombres que tengan el pleito delante de Adonai, delante de los sacerdotes y los jueces que haya en los días aquellos.",,intro,
וְעָמְד֧וּ,se presentarán,veomdu,,
שְׁנֵֽי־הָאֲנָשִׁ֛ים,los dos hombres,shené-haanashim,,
אֲשֶׁר־לָהֶ֥ם,que tengan,asher-lahem,,
הָרִ֖יב,el pleito,hariv,,
לִפְנֵ֣י,delante de,lifné,,
יְהֹוָ֑ה,"Adonai,",adonai,,
לִפְנֵ֤י,delante de,lifné,,
הַכֹּֽהֲנִים֙,los sacerdotes,hakohanim,,
וְהַשֹּׁ֣פְטִ֔ים,y los jueces,vehashofetim,,
אֲשֶׁ֥ר,que,asher,,
יִהְי֖וּ,haya,ihu,,
בַּיָּמִ֥ים,en los días,baiamim,,
הָהֵֽם׃,aquellos.,hahem,,
18,,,subchapter,
,E investigarán los jueces bien; y he aquí: testigo falso [es] el testigo; falsedad testificó contra su hermano.,,intro,
וְדָרְשׁ֥וּ,E investigarán,vedorshu,,
הַשֹּׁפְטִ֖ים,los jueces,hashofetim,,
הֵיטֵ֑ב,bien;,hetev,,
וְהִנֵּ֤ה,y he aquí:,vehiné,,
עֵֽד־שֶׁ֙קֶר֙,testigo falso,ed-sheker,,
הָעֵ֔ד,[es] el testigo;,haed,,
שֶׁ֖קֶר,falsedad,shéker,,
עָנָ֥ה,testificó,aná,,
בְאָחִֽיו׃,contra su hermano.,veajiv,,
19,,,subchapter,
,Harán a él como planeó hacer a su hermano; y eliminarás el mal de en medio de ti.,,intro,
וַעֲשִׂ֣יתֶם,Harán,vaasítem,,
ל֔וֹ,a él,lo,,
כַּאֲשֶׁ֥ר,como,kaasher,,
זָמַ֖ם,planeó,zamam,,
לַעֲשׂ֣וֹת,hacer,laásot,,
לְאָחִ֑יו,a su hermano;,leajiv,,
וּבִֽעַרְתָּ֥,y eliminarás,uviartá,,
הָרָ֖ע,el mal,hará,,
מִקִּרְבֶּֽךָ׃,de en medio de ti.,mikirbeja,,
20,,,subchapter,
,"Y los restantes oirán y temerán, y no volverán a hacer más como la cosa mala esta en medio de ti.",,intro,
וְהַנִּשְׁאָרִ֖ים,Y los restantes,vehanisharim,,
יִשְׁמְע֣וּ,oirán,ishmeu,,
וְיִרָ֑אוּ,"y temerán,",veirau,,
וְלֹֽא־יֹסִ֨פוּ,y no volverán,veló-iosifu,,
לַעֲשׂ֜וֹת,a hacer,laásot,,
ע֗וֹד,más,od,,
כַּדָּבָ֥ר,como la cosa,kadavar,,
הָרָ֛ע,mala,hará,,
הַזֶּ֖ה,esta,hazé,,
בְּקִרְבֶּֽךָ׃,en medio de ti.,bekirbeja,,
21,,,subchapter,
,"Y no tendrá compasión tu ojo: vida por vida, ojo por ojo, diente por diente, mano por mano, pie por pie.",,intro,
וְלֹ֥א,Y no,veló,,
תָח֖וֹס,tendrá compasión,tajos,,
עֵינֶ֑ךָ,tu ojo:,eneja,,
נֶ֣פֶשׁ,vida,néfesh,,
בְּנֶ֗פֶשׁ,"por vida,",benéfesh,,
עַ֤יִן,ojo,ain,,
בְּעַ֙יִן֙,"por ojo,",beaín,,
שֵׁ֣ן,diente,shen,,
בְּשֵׁ֔ן,"por diente,",beshén,,
יָ֥ד,mano,iad,,
בְּיָ֖ד,"por mano,",beiad,,
רֶ֥גֶל,pie,régel,,
בְּרָֽגֶל׃,por pie.,berágel,,
CAPÍTULO 20,CAPÍTULO 20,,chapter,
1,,,subchapter,
,"Cuando salgas a la guerra contra tu enemigo, y veas caballo y carro, un pueblo más numeroso que tú, no temerás de ellos, pues Adonai tu Dios [está] contigo, Quien te hizo subir de [la] tierra de Egipto.",,intro,
כִּֽי־תֵצֵ֨א,Cuando salgas,ki-tetzé,,
לַמִּלְחָמָ֜ה,a la guerra,lamiljamá,,
עַל־אֹיְבֶ֗ךָ,"contra tu enemigo,",al-oieveja,,
וְֽרָאִ֜יתָ,y veas,veraita,,
ס֤וּס,caballo,sus,,
וָרֶ֙כֶב֙,"y carro,",varejev,,
עַ֚ם,un pueblo,am,,
רַ֣ב,más numeroso,rav,,
מִמְּךָ֔,"que tú,",mimejá,,
לֹ֥א,no,lo,,
תִירָ֖א,temerás,tirá,,
מֵהֶ֑ם,"de ellos,",mehem,,
כִּֽי־יְהֹוָ֤ה,pues Adonai,ki-adonai,,
אֱלֹהֶ֙יךָ֙,tu Dios,elohejá,,
עִמָּ֔ךְ,"[está] contigo,",imoj,,
הַמַּֽעַלְךָ֖,Quien te hizo subir,hamaaljá,,
מֵאֶ֥רֶץ,de [la] tierra de,meéretz,,
מִצְרָֽיִם׃,Egipto.,mitzráim,,
2,,,subchapter,
,"Y será, cuando se acerquen ustedes a la guerra, se acercará el sacerdote y hablará al pueblo.",,intro,
וְהָיָ֕ה,"Y será,",vehaiá,,
כְּקָֽרׇבְכֶ֖ם,cuando se acerquen ustedes,kekarovjem,,
אֶל־הַמִּלְחָמָ֑ה,"a la guerra,",el-hamiljamá,,
וְנִגַּ֥שׁ,se acercará,venigash,,
הַכֹּהֵ֖ן,el sacerdote,hakohén,,
וְדִבֶּ֥ר,y hablará,vediber,,
אֶל־הָעָֽם׃,al pueblo.,el-haam,,
3,,,subchapter,
,"Y dirá a ellos: Escucha, Israel: ustedes se acercan hoy a la guerra contra sus enemigos; no desfallezca el corazón de ustedes, no teman ni se alarmen ni se aterroricen ante ellos.",,intro,
וְאָמַ֤ר,Y dirá,veamar,,
אֲלֵהֶם֙,a ellos:,alehem,,
שְׁמַ֣ע,"Escucha,",shemá,,
יִשְׂרָאֵ֔ל,Israel:,israel,,
אַתֶּ֨ם,ustedes,atem,,
קְרֵבִ֥ים,se acercan,kerevim,,
הַיּ֛וֹם,hoy,háiom,,
לַמִּלְחָמָ֖ה,a la guerra,lamiljamá,,
עַל־אֹיְבֵיכֶ֑ם,contra sus enemigos;,al-oievejem,,
אַל־יֵרַ֣ךְ,no desfallezca,al-ieraj,,
לְבַבְכֶ֗ם,"el corazón de ustedes,",levavjem,,
אַל־תִּֽירְא֧וּ,no teman,al-tiru,,
וְאַֽל־תַּחְפְּז֛וּ,ni se alarmen,veal-tajpezu,,
וְאַל־תַּֽעַרְצ֖וּ,ni se aterroricen,veal-taartzu,,
מִפְּנֵיהֶֽם׃,ante ellos.,mipenehem,,
4,,,subchapter,
,"Porque Adonai Dios de ustedes [es] Quien va con ustedes, para combatir por ustedes contra sus enemigos, para salvar a ustedes.",,intro,
כִּ֚י,Porque,ki,,
יְהֹוָ֣ה,Adonai,adonai,,
אֱלֹֽהֵיכֶ֔ם,Dios de ustedes,elohejem,,
הַהֹלֵ֖ךְ,[es] Quien va,haholej,,
עִמָּכֶ֑ם,"con ustedes,",imajem,,
לְהִלָּחֵ֥ם,para combatir,lehilajem,,
לָכֶ֛ם,por ustedes,lajem,,
עִם־אֹיְבֵיכֶ֖ם,"contra sus enemigos,",im-oievejem,,
לְהוֹשִׁ֥יעַ,para salvar,lehoshia,,
אֶתְכֶֽם׃,a ustedes.,etjem,,
5,,,subchapter,
,"Y hablarán los oficiales al pueblo diciendo: ¿Quién [es] el hombre que construyó una casa nueva y no la inauguró? Que vaya y vuelva a su casa, no sea que muera en la guerra y un hombre otro la inaugure.",,intro,
וְדִבְּר֣וּ,Y hablarán,vediberu,,
הַשֹּֽׁטְרִים֮,los oficiales,hashoterim,,
אֶל־הָעָ֣ם,al pueblo,el-haam,,
לֵאמֹר֒,diciendo:,lemor,,
מִֽי־הָאִ֞ישׁ,¿Quién [es] el hombre,mi-haish,,
אֲשֶׁ֨ר,que,asher,,
בָּנָ֤ה,construyó,baná,,
בַֽיִת־חָדָשׁ֙,una casa nueva,váit-jadash,,
וְלֹ֣א,y no,veló,,
חֲנָכ֔וֹ,la inauguró?,janajo,,
יֵלֵ֖ךְ,Que vaya,ielej,,
וְיָשֹׁ֣ב,y vuelva,veiashov,,
לְבֵית֑וֹ,"a su casa,",leveto,,
פֶּן־יָמוּת֙,no sea que muera,pen-iamut,,
בַּמִּלְחָמָ֔ה,en la guerra,bamiljamá,,
וְאִ֥ישׁ,y un hombre,veish,,
אַחֵ֖ר,otro,ajer,,
יַחְנְכֶֽנּוּ׃,la inaugure.,iajnejenu,,
6,,,subchapter,
,"¿Y quién [es] el hombre que plantó una viña y no la redimió? Que vaya y vuelva a su casa, no sea que muera en la guerra y un hombre otro la redima.",,intro,
וּמִֽי־הָאִ֞ישׁ,¿Y quién [es] el hombre,umí-haish,,
אֲשֶׁר־נָטַ֥ע,que plantó,asher-natá,,
כֶּ֙רֶם֙,una viña,kerem,,
וְלֹ֣א,y no,veló,,
חִלְּל֔וֹ,la redimió?,jilelo,,
יֵלֵ֖ךְ,Que vaya,ielej,,
וְיָשֹׁ֣ב,y vuelva,veiashov,,
לְבֵית֑וֹ,"a su casa,",leveto,,
פֶּן־יָמוּת֙,no sea que muera,pen-iamut,,
בַּמִּלְחָמָ֔ה,en la guerra,bamiljamá,,
וְאִ֥ישׁ,y un hombre,veish,,
אַחֵ֖ר,otro,ajer,,
יְחַלְּלֶֽנּוּ׃,la redima.,iejalelenu,,
7,,,subchapter,
,"¿Y quién [es] el hombre que desposó una mujer y no la tomó? Que vaya y vuelva a su casa, no sea que muera en la guerra y un hombre otro la tome.",,intro,
וּמִֽי־הָאִ֞ישׁ,¿Y quién [es] el hombre,umí-haish,,
אֲשֶׁר־אֵרַ֤שׂ,que desposó,asher-erás,,
אִשָּׁה֙,una mujer,ishá,,
וְלֹ֣א,y no,veló,,
לְקָחָ֔הּ,la tomó?,lekajah,,
יֵלֵ֖ךְ,Que vaya,ielej,,
וְיָשֹׁ֣ב,y vuelva,veiashov,,
לְבֵית֑וֹ,"a su casa,",leveto,,
פֶּן־יָמוּת֙,no sea que muera,pen-iamut,,
בַּמִּלְחָמָ֔ה,en la guerra,bamiljamá,,
וְאִ֥ישׁ,y un hombre,veish,,
אַחֵ֖ר,otro,ajer,,
יִקָּחֶֽנָּה׃,la tome.,ikajena,,
8,,,subchapter,
,"Y continuarán los oficiales hablando al pueblo, y dirán: ¿Quién [es] el hombre temeroso y blando de corazón? Que vaya y vuelva a su casa, y no derrita el corazón de sus hermanos como su corazón.",,intro,
וְיָסְפ֣וּ,Y continuarán,veiosfu,,
הַשֹּׁטְרִים֮,los oficiales,hashoterim,,
לְדַבֵּ֣ר,hablando,ledaber,,
אֶל־הָעָם֒,"al pueblo,",el-haam,,
וְאָמְר֗וּ,y dirán:,veomru,,
מִי־הָאִ֤ישׁ,¿Quién [es] el hombre,mi-haish,,
הַיָּרֵא֙,temeroso,haiaré,,
וְרַ֣ךְ,y blando de,veraj,,
הַלֵּבָ֔ב,corazón?,halevav,,
יֵלֵ֖ךְ,Que vaya,ielej,,
וְיָשֹׁ֣ב,y vuelva,veiashov,,
לְבֵית֑וֹ,"a su casa,",leveto,,
וְלֹ֥א,y no,veló,,
יִמַּ֛ס,derrita,imás,,
אֶת־לְבַ֥ב,el corazón de,et-levav,,
אֶחָ֖יו,sus hermanos,ejav,,
כִּלְבָבֽוֹ׃,como su corazón.,kilvavo,,
9,,,subchapter,
,"Y será, cuando terminen los oficiales de hablar al pueblo, designarán jefes de ejércitos a la cabeza de el pueblo.",,intro,
וְהָיָ֛ה,"Y será,",vehaiá,,
כְּכַלֹּ֥ת,cuando terminen,kejalot,,
הַשֹּׁטְרִ֖ים,los oficiales,hashoterim,,
לְדַבֵּ֣ר,de hablar,ledaber,,
אֶל־הָעָ֑ם,"al pueblo,",el-haam,,
וּפָ֥קְד֛וּ,designarán,ufakedu,,
שָׂרֵ֥י,jefes de,saré,,
צְבָא֖וֹת,ejércitos,tzeváot,,
בְּרֹ֥אשׁ,a la cabeza de,berosh,,
הָעָֽם׃,el pueblo.,haam,,
