original,translation,phonetics,format,notes
לֹא־יַרְבֶּה־לּ֣וֹ,no aumentará para sí,lo-iarbé-lo,,
סוּסִים֒,"caballos,",susim,,
וְלֹֽא־יָשִׁ֤יב,y no hará volver,veló-iashiv,,
אֶת־הָעָם֙,al pueblo,et-haam,,
מִצְרַ֔יְמָה,hacia Egipto,mitzráiema,,
לְמַ֖עַן,para,lemaan,,
הַרְבּ֣וֹת,aumentar,harbot,,
ס֑וּס,"caballos,",sus,,
וַֽיהֹוָה֙,pues Adonai,vadonai,,
אָמַ֣ר,dijo,amar,,
לָכֶ֔ם,a ustedes:,lajem,,
לֹ֣א,No,lo,,
תֹסִפ֗וּן,volverán a,tosifún,,
לָשׁ֛וּב,regresar,lashuv,,
בַּדֶּ֥רֶךְ,por el camino,badérej,,
הַזֶּ֖ה,este,hazé,,
עֽוֹד׃,otra vez.,od,,
17,,,subchapter,
,"Y no aumentará para sí mujeres, para que no se aparte su corazón; y plata y oro no aumentará para sí mucho.",,intro,
וְלֹ֤א,Y no,veló,,
יַרְבֶּה־לּוֹ֙,aumentará para sí,iarbé-lo,,
נָשִׁ֔ים,"mujeres,",nashim,,
וְלֹ֥א,para que no,veló,,
יָס֖וּר,se aparte,iasur,,
לְבָב֑וֹ,su corazón;,levavó,,
וְכֶ֣סֶף,y plata,vejésef,,
וְזָהָ֔ב,y oro,vezahav,,
לֹ֥א,no,lo,,
יַרְבֶּה־לּ֖וֹ,aumentará para sí,iarbé-lo,,
מְאֹֽד׃,mucho.,meod,,
18,,,subchapter,
,"Y será, cuando se siente sobre [el] trono de su reino, escribirá para sí una copia de la Torá esta sobre un libro, de delante de los sacerdotes los levitas.",,intro,
וְהָיָ֣ה,"Y será,",vehaiá,,
כְשִׁבְתּ֔וֹ,cuando se siente,jeshivtó,,
עַ֖ל,sobre,al,,
כִּסֵּ֣א,[el] trono de,kisé,,
מַמְלַכְתּ֑וֹ,"su reino,",mamlajtó,,
וְכָ֨תַב,escribirá,vejátav,,
ל֜וֹ,para sí,lo,,
אֶת־מִשְׁנֵ֨ה,una copia de,et-mishné,,
הַתּוֹרָ֤ה,la Torá,hatorá,,
הַזֹּאת֙,esta,hazot,,
עַל־סֵ֔פֶר,"sobre un libro,",al-séfer,,
מִלִּפְנֵ֖י,de delante de,milifné,,
הַכֹּהֲנִ֥ים,los sacerdotes,hakohanim,,
הַלְוִיִּֽם׃,los levitas.,halviim,,
19,,,subchapter,
,"Y estará con él, y leerá en él todos los días de su vida, para que aprenda a temer a Adonai su Dios, a guardar todas las palabras de la Torá esta y los estatutos estos, para cumplirlos;",,intro,
וְהָיְתָ֣ה,Y estará,vehoitá,,
עִמּ֔וֹ,"con él,",imó,,
וְקָ֥רָא,y leerá,vekara,,
ב֖וֹ,en él,vo,,
כׇּל־יְמֵ֣י,todos los días de,kol-iemé,,
חַיָּ֑יו,"su vida,",jaiav,,
לְמַ֣עַן,para que,lemaan,,
יִלְמַ֗ד,aprenda,ilmad,,
לְיִרְאָה֙,a temer,leirá,,
אֶת־יְהֹוָ֣ה,a Adonai,et-adonai,,
אֱלֹהָ֔יו,"su Dios,",elohav,,
לִ֠שְׁמֹ֠ר,a guardar,lishemor,,
אֶֽת־כׇּל־דִּבְרֵ֞י,todas las palabras de,et-kol-divré,,
הַתּוֹרָ֥ה,la Torá,hatorá,,
הַזֹּ֛את,esta,hazot,,
וְאֶת־הַחֻקִּ֥ים,y los estatutos,veet-hajukim,,
הָאֵ֖לֶּה,"estos,",haele,,
לַעֲשֹׂתָֽם׃,para cumplirlos;,laasotam,,
20,,,subchapter,
,"para no elevarse su corazón sobre sus hermanos, y para no apartarse del mandamiento [ni] derecha ni izquierda; para que prolongue días sobre su reino, él y sus hijos, en medio de Israel.",,intro,
לְבִלְתִּ֤י,para no,leviltí,,
רוּם־לְבָבוֹ֙,elevarse su corazón,rum-levavó,,
מֵֽאֶחָ֔יו,"sobre sus hermanos,",meejav,,
וּלְבִלְתִּ֛י,y para no,uleviltí,,
ס֥וּר,apartarse,sur,,
מִן־הַמִּצְוָ֖ה,del mandamiento,min-hamitzvá,,
יָמִ֣ין,[ni] derecha,iamín,,
וּשְׂמֹ֑אול,ni izquierda;,usemovl,,
לְמַ֩עַן֩,para que,lemaán,,
יַאֲרִ֨יךְ,prolongue,iaarij,,
יָמִ֧ים,días,iamim,,
עַל־מַמְלַכְתּ֛וֹ,"sobre su reino,",al-mamlajtó,,
ה֥וּא,él,hu,,
וּבָנָ֖יו,"y sus hijos,",uvanav,,
בְּקֶ֥רֶב,en medio de,bekérev,,
יִשְׂרָאֵֽל׃,Israel.,israel,,
