original,translation,phonetics,format,notes
מִלְחָמָ֑ה,"guerra,",miljamá,,
וְצַרְתָּ֖,la sitiarás,vetzartá,,
עָלֶֽיהָ׃,a ella.,'alea,,
13,,,subchapter,
,"Y la entregará Adonai tu Dios en tu mano, y golpearás a todos sus varones a filo de espada.",,intro,
וּנְתָנָ֛הּ,Y la entregará,unetanah,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheja,,
בְּיָדֶ֑ךָ,"en tu mano,",beiadeja,,
וְהִכִּיתָ֥,y golpearás,vehikitá,,
אֶת־כׇּל־זְכוּרָ֖הּ,a todos sus varones,et-kol-zejurah,,
לְפִי־חָֽרֶב׃,a filo de espada.,lefí-járev,,
14,,,subchapter,
,"Solamente las mujeres y los niños y los animales y todo lo que haya en la ciudad, todo su botín, saquearás para ti; y comerás [del] botín de tus enemigos que te dio Adonai tu Dios a ti.",,intro,
רַ֣ק,Solamente,rak,,
הַ֠נָּשִׁ֠ים,las mujeres,hánashim,,
וְהַטַּ֨ף,y los niños,vehataf,,
וְהַבְּהֵמָ֜ה,y los animales,vehabehemá,,
וְכֹל֩,y todo,vejol,,
אֲשֶׁ֨ר,lo que,asher,,
יִהְיֶ֥ה,haya,ihié,,
בָעִ֛יר,"en la ciudad,",va'ir,,
כׇּל־שְׁלָלָ֖הּ,"todo su botín,",kol-shelalah,,
תָּבֹ֣ז,saquearás,tavoz,,
לָ֑ךְ,para ti;,laj,,
וְאָֽכַלְתָּ֙,y comerás,veájalta,,
אֶת־שְׁלַ֣ל,[del] botín de,et-shelal,,
אֹיְבֶ֔יךָ,tus enemigos,oieveja,,
אֲשֶׁ֥ר,que,asher,,
נָתַ֛ן,te dio,natán,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheja,,
לָֽךְ׃,a ti.,laj,,
15,,,subchapter,
,"Así harás a todas las ciudades alejadas de ti mucho, que no [sean] de las ciudades de las naciones estas ellas.",,intro,
כֵּ֤ן,Así,ken,,
תַּעֲשֶׂה֙,harás,ta'asé,,
לְכׇל־הֶ֣עָרִ֔ים,a todas las ciudades,lejol-hé'arim,,
הָרְחֹקֹ֥ת,alejadas,horjokot,,
מִמְּךָ֖,de ti,mimejá,,
מְאֹ֑ד,"mucho,",meod,,
אֲשֶׁ֛ר,que,asher,,
לֹא־מֵעָרֵ֥י,no [sean] de las ciudades de,lo-me'aré,,
הַגּֽוֹיִם־הָאֵ֖לֶּה,las naciones estas,hagóim-haele,,
הֵֽנָּה׃,ellas.,hena,,
16,,,subchapter,
,"Pero de las ciudades de los pueblos estos, que Adonai tu Dios te da a ti [como] heredad, no dejarás vivir ninguna alma.",,intro,
רַ֗ק,Pero,rak,,
מֵעָרֵ֤י,de las ciudades de,me'aré,,
הָֽעַמִּים֙,los pueblos,há'amim,,
הָאֵ֔לֶּה,"estos,",haele,,
אֲשֶׁר֙,que,asher,,
יְהֹוָ֣ה,Adonai,adonai,,
אֱלֹהֶ֔יךָ,tu Dios,eloheja,,
נֹתֵ֥ן,te da,notén,,
לְךָ֖,a ti,lejá,,
נַחֲלָ֑ה,"[como] heredad,",najalá,,
לֹ֥א,no,lo,,
תְחַיֶּ֖ה,dejarás vivir,tejaié,,
כׇּל־נְשָׁמָֽה׃,ninguna alma.,kol-neshamá,,
17,,,subchapter,
,"Sino que destruirás totalmente a ellos: al jitita, al emorita, al cananeo, al perizita, al jivita y al yevusita, como te ordenó Adonai tu Dios;",,intro,
כִּֽי־הַחֲרֵ֣ם,Sino que destruirás totalmente,ki-hajarem,,
תַּחֲרִימֵ֗ם,a ellos:,tajarimem,,
הַחִתִּ֤י,"al jitita,",hajití,,
וְהָאֱמֹרִי֙,"al emorita,",vehaemorí,,
הַכְּנַעֲנִ֣י,"al cananeo,",hakena'aní,,
וְהַפְּרִזִּ֔י,"al perizita,",vehaperizí,,
הַחִוִּ֖י,al jivita,hajiví,,
וְהַיְבוּסִ֑י,"y al yevusita,",vehaivusí,,
כַּאֲשֶׁ֥ר,como,kaasher,,
צִוְּךָ֖,te ordenó,tziejá,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶֽיךָ׃,tu Dios;,eloheja,,
18,,,subchapter,
,"para que no enseñen a ustedes a hacer conforme a todas sus abominaciones que hicieron para sus dioses, y pequen contra Adonai Dios de ustedes.",,intro,
לְמַ֗עַן,para que,lema'an,,
אֲשֶׁ֨ר,no,asher,,
לֹֽא־יְלַמְּד֤וּ,enseñen,lo-ielamedú,,
אֶתְכֶם֙,a ustedes,etjem,,
לַעֲשׂ֔וֹת,a hacer,la'asot,,
כְּכֹל֙,conforme a todas,kejol,,
תּֽוֹעֲבֹתָ֔ם,sus abominaciones,tó'avotam,,
אֲשֶׁ֥ר,que,asher,,
עָשׂ֖וּ,hicieron,'asú,,
לֵאלֹֽהֵיהֶ֑ם,"para sus dioses,",lelóhehem,,
וַחֲטָאתֶ֖ם,y pequen,vajatatem,,
לַיהֹוָ֥ה,contra Adonai,ladonai,,
אֱלֹהֵיכֶֽם׃,Dios de ustedes.,elohejem,,
19,,,subchapter,
,"Cuando asedies una ciudad días muchos para combatir contra ella, para conquistarla, no destruirás sus árboles blandiendo contra ellos un hacha, pues de ellos comerás, y a ellos no cortarás; ¿acaso el hombre [es] árbol de el campo, para venir delante de ti en el asedio?",,intro,
כִּֽי־תָצ֣וּר,Cuando asedies,ki-tatzur,,
אֶל־עִיר֩,una ciudad,el-'ir,,
יָמִ֨ים,días,iamim,,
רַבִּ֜ים,muchos,rabim,,
לְֽהִלָּחֵ֧ם,para combatir,léhilajem,,
עָלֶ֣יהָ,"contra ella,",'alea,,
לְתׇפְשָׂ֗הּ,"para conquistarla,",letofsah,,
לֹֽא־תַשְׁחִ֤ית,no destruirás,lo-tashjit,,
אֶת־עֵצָהּ֙,sus árboles,et-'etzah,,
לִנְדֹּ֤חַ,blandiendo,lindoja,,
עָלָיו֙,contra ellos,'alav,,
גַּרְזֶ֔ן,"un hacha,",garzén,,
כִּ֚י,pues,ki,,
מִמֶּ֣נּוּ,de ellos,mimenu,,
תֹאכֵ֔ל,"comerás,",tojel,,
וְאֹת֖וֹ,y a ellos,veotó,,
לֹ֣א,no,lo,,
תִכְרֹ֑ת,cortarás;,tijrot,,
כִּ֤י,¿acaso,ki,,
הָֽאָדָם֙,el hombre,háadam,,
עֵ֣ץ,[es] árbol de,'etz,,
הַשָּׂדֶ֔ה,"el campo,",hasadé,,
לָבֹ֥א,para venir,lavó,,
מִפָּנֶ֖יךָ,delante de ti,mipaneja,,
בַּמָּצֽוֹר׃,en el asedio?,bamatzor,,
20,,,subchapter,
,"Solamente un árbol que sepas que no es árbol de alimento él, a él destruirás y cortarás; y construirás un cerco contra la ciudad que ella hace contigo guerra, hasta someterla.",,intro,
רַ֞ק,Solamente,rak,,
עֵ֣ץ,un árbol,'etz,,
אֲשֶׁר־תֵּדַ֗ע,que sepas,asher-teda',,
כִּֽי־לֹא־עֵ֤ץ,que no es árbol de,ki-lo-'etz,,
מַאֲכָל֙,alimento,maajal,,
ה֔וּא,"él,",hu,,
אֹת֥וֹ,a él,otó,,
תַשְׁחִ֖ית,destruirás,tashjit,,
וְכָרָ֑תָּ,y cortarás;,vejarata,,
וּבָנִ֣יתָ,y construirás,uvanita,,
מָצ֗וֹר,un cerco,matzor,,
עַל־הָעִיר֙,contra la ciudad,'al-ha'ir,,
אֲשֶׁר־הִ֨וא,que ella,asher-hiv,,
עֹשָׂ֧ה,hace,'osá,,
עִמְּךָ֛,contigo,'imejá,,
מִלְחָמָ֖ה,"guerra,",miljamá,,
עַ֥ד,hasta,'ad,,
רִדְתָּֽהּ׃,someterla.,ridtah,,
CAPÍTULO 21,CAPÍTULO 21,,chapter,
1,,,subchapter,
,"Cuando sea hallado un muerto en la tierra que Adonai tu Dios te da a ti para heredarla, caído en el campo, [y] no sea sabido quién lo golpeó,",,intro,
כִּי־יִמָּצֵ֣א,Cuando sea hallado,ki-imatzé,,
חָלָ֗ל,un muerto,jalal,,
בָּאֲדָמָה֙,en la tierra,baadamá,,
אֲשֶׁר֩,que,asher,,
יְהֹוָ֨ה,Adonai,adonai,,
אֱלֹהֶ֜יךָ,tu Dios,eloheja,,
נֹתֵ֤ן,te da,notén,,
לְךָ֙,a ti,lejá,,
לְרִשְׁתָּ֔הּ,"para heredarla,",lerishtah,,
נֹפֵ֖ל,caído,nofel,,
בַּשָּׂדֶ֑ה,"en el campo,",basadé,,
לֹ֥א,[y] no,lo,,
נוֹדַ֖ע,sea sabido,noda',,
מִ֥י,quién,mi,,
הִכָּֽהוּ׃,"lo golpeó,",hikahu,,
2,,,subchapter,
,"saldrán tus ancianos y tus jueces, y medirán hacia las ciudades que [están] alrededor de el muerto.",,intro,
וְיָצְא֥וּ,saldrán,veiotzú,,
זְקֵנֶ֖יךָ,tus ancianos,zekeneja,,
וְשֹׁפְטֶ֑יךָ,"y tus jueces,",veshofeteja,,
וּמָדְדוּ֙,y medirán,umadedú,,
אֶל־הֶ֣עָרִ֔ים,hacia las ciudades,el-hé'arim,,
אֲשֶׁ֖ר,que,asher,,
סְבִיבֹ֥ת,[están] alrededor de,sevivot,,
הֶחָלָֽל׃,el muerto.,hejalal,,
3,,,subchapter,
,"Y será: la ciudad más cercana al muerto; tomarán [los] ancianos de la ciudad aquella una ternera de ganado que no fue trabajada con ella, que no tiró del yugo.",,intro,
וְהָיָ֣ה,Y será:,vehaiá,,
הָעִ֔יר,la ciudad,ha'ir,,
הַקְּרֹבָ֖ה,más cercana,hakerová,,
אֶל־הֶחָלָ֑ל,al muerto;,el-hejalal,,
וְלָֽקְח֡וּ,tomarán,velákeju,,
זִקְנֵי֩,[los] ancianos de,zikné,,
הָעִ֨יר,la ciudad,ha'ir,,
הַהִ֜וא,aquella,hahiv,,
עֶגְלַ֣ת,una ternera de,'eglat,,
בָּקָ֗ר,ganado,bakar,,
אֲשֶׁ֤ר,que,asher,,
לֹֽא־עֻבַּד֙,no fue trabajada,lo-'ubad,,
בָּ֔הּ,"con ella,",bah,,
אֲשֶׁ֥ר,que,asher,,
לֹא־מָשְׁכָ֖ה,no tiró,lo-moshjá,,
בְּעֹֽל׃,del yugo.,be'ol,,
4,,,subchapter,
,"Y harán bajar [los] ancianos de la ciudad aquella a la ternera hacia un arroyo perenne, que no sea trabajado en él ni sea sembrado; y desnucarán allí a la ternera en el arroyo.",,intro,
וְהוֹרִ֡דוּ,Y harán bajar,vehoridu,,
זִקְנֵי֩,[los] ancianos de,zikné,,
הָעִ֨יר,la ciudad,ha'ir,,
הַהִ֤וא,aquella,hahiv,,
אֶת־הָֽעֶגְלָה֙,a la ternera,et-há'egla,,
אֶל־נַ֣חַל,hacia un arroyo,el-nájal,,
אֵיתָ֔ן,"perenne,",etán,,
אֲשֶׁ֛ר,que,asher,,
לֹא־יֵעָבֵ֥ד,no sea trabajado,lo-ie'aved,,
בּ֖וֹ,en él,bo,,
וְלֹ֣א,ni,veló,,
יִזָּרֵ֑עַ,sea sembrado;,izare'a,,
וְעָֽרְפוּ־שָׁ֥ם,y desnucarán allí,ve'árefu-sham,,
אֶת־הָעֶגְלָ֖ה,a la ternera,et-ha'eglá,,
בַּנָּֽחַל׃,en el arroyo.,banájal,,
5,,,subchapter,
,"Y se acercarán los sacerdotes, hijos de Leví, pues a ellos escogió Adonai tu Dios para servirle y para bendecir en [el] nombre de Adonai; y por boca de ellos será todo pleito y toda lesión.",,intro,
וְנִגְּשׁ֣וּ,Y se acercarán,venigeshú,,
הַכֹּהֲנִים֮,"los sacerdotes,",hakohanim,,
בְּנֵ֣י,hijos de,bené,,
לֵוִי֒,"Leví,",leví,,
כִּ֣י,pues,ki,,
בָ֗ם,a ellos,vam,,
בָּחַ֞ר,escogió,bajar,,
יְהֹוָ֤ה,Adonai,adonai,,
אֱלֹהֶ֙יךָ֙,tu Dios,eloheja,,
לְשָׁ֣רְת֔וֹ,para servirle,lesháreto,,
וּלְבָרֵ֖ךְ,y para bendecir,ulevarej,,
בְּשֵׁ֣ם,en [el] nombre de,beshem,,
יְהֹוָ֑ה,Adonai;,adonai,,
וְעַל־פִּיהֶ֥ם,y por boca de ellos,ve'al-pihem,,
יִהְיֶ֖ה,será,ihié,,
כׇּל־רִ֥יב,todo pleito,kol-riv,,
וְכׇל־נָֽגַע׃,y toda lesión.,vejol-nága',,
6,,,subchapter,
,"Y todos [los] ancianos de la ciudad aquella, los cercanos al muerto, lavarán sus manos sobre la ternera desnucada en el arroyo.",,intro,
וְכֹ֗ל,Y todos,vejol,,
זִקְנֵי֙,[los] ancianos de,zikné,,
הָעִ֣יר,la ciudad,ha'ir,,
הַהִ֔וא,"aquella,",hahiv,,
הַקְּרֹבִ֖ים,los cercanos,hakerovim,,
אֶל־הֶחָלָ֑ל,"al muerto,",el-hejalal,,
יִרְחֲצוּ֙,lavarán,irjatzú,,
אֶת־יְדֵיהֶ֔ם,sus manos,et-iedehem,,
עַל־הָעֶגְלָ֖ה,sobre la ternera,'al-ha'eglá,,
הָעֲרוּפָ֥ה,desnucada,ha'arufá,,
בַנָּֽחַל׃,en el arroyo.,vanájal,,
7,,,subchapter,
,"Y responderán y dirán: Nuestras manos no [escrito: derramó;] [leído:] derramaron la sangre esta, y nuestros ojos no vieron.",,intro,
וְעָנ֖וּ,Y responderán,ve'anú,,
וְאָמְר֑וּ,y dirán:,veomrú,,
יָדֵ֗ינוּ,Nuestras manos,iadenu,,
לֹ֤א,no,lo,,
(שפכה),[escrito: derramó;],(shfj),,
[שָֽׁפְכוּ֙],[leído:] derramaron,[sháfeju],,
אֶת־הַדָּ֣ם,la sangre,et-hadam,,
הַזֶּ֔ה,"esta,",hazé,,
וְעֵינֵ֖ינוּ,y nuestros ojos,ve'enenu,,
לֹ֥א,no,lo,,
רָאֽוּ׃,vieron.,raú,,
8,,,subchapter,
,"Expía por Tu pueblo, Israel, que redimiste, Adonai; y no pongas sangre inocente en medio de Tu pueblo Israel; y será expiada para ellos la sangre.",,intro,
כַּפֵּר֩,Expía,kaper,,
לְעַמְּךָ֨,"por Tu pueblo,",le'amejá,,
יִשְׂרָאֵ֤ל,"Israel,",israel,,
אֲשֶׁר־פָּדִ֙יתָ֙,"que redimiste,",asher-padita,,
יְהֹוָ֔ה,Adonai;,adonai,,
וְאַל־תִּתֵּן֙,y no pongas,veal-titén,,
דָּ֣ם,sangre,dam,,
נָקִ֔י,inocente,nakí,,
בְּקֶ֖רֶב,en medio de,bekérev,,
עַמְּךָ֣,Tu pueblo,'amejá,,
יִשְׂרָאֵ֑ל,Israel;,israel,,
וְנִכַּפֵּ֥ר,y será expiada,venikaper,,
לָהֶ֖ם,para ellos,lahem,,
הַדָּֽם׃,la sangre.,hadam,,
9,,,subchapter,
,"Y tú eliminarás la sangre inocente de en medio de ti, cuando hagas lo recto ante los ojos de Adonai.",,intro,
וְאַתָּ֗ה,Y tú,veatá,,
תְּבַעֵ֛ר,eliminarás,teva'er,,
הַדָּ֥ם,la sangre,hadam,,
הַנָּקִ֖י,inocente,hanakí,,
מִקִּרְבֶּ֑ךָ,"de en medio de ti,",mikirbeja,,
כִּֽי־תַעֲשֶׂ֥ה,cuando hagas,ki-ta'asé,,
הַיָּשָׁ֖ר,lo recto,haiashar,,
בְּעֵינֵ֥י,ante los ojos de,be'ené,,
יְהֹוָֽה׃,Adonai.,adonai,,
