original,translation,phonetics,format,notes
בְּמַחֲשָׁבָה תְּחִלָּה:,[estuvo] primero en el pensamiento.,be-majashavah tejilah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
מִקְדַּשׁ מֶֽלֶךְ,"Santuario del Rey,",mikdash melej,,
עִיר מְלוּכָה.,"ciudad de realeza,",ir melujah,,
קֽוּמִי,"levantate,",kumi,,
צְאִי,sal,tzei,,
מִתּוֹךְ הַהֲפֵכָה.,de en medio de la ruina;,mi-toj ha-hafejah,,
רַב לָךְ,bastante [tiempo] para ti,rav laj,,
שֶֽׁבֶת,[fue] habitar,shevet,,
בְּעֵֽמֶק הַבָּכָא.,en el valle del llanto;,be-emek ha-baja,,
וְהוּא יַחְמוֹל,y El tendra compasion,ve-hu yajmol,,
עָלַֽיִךְ חֶמְלָה:,de ti con compasion.,alaij jemlah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
הִתְנַעֲרִי,"Sacudete,",hitnaari,,
מֵעָפָר,del polvo;,me-afar,,
קֽוּמִי.,levantate.,kumi,,
לִבְשִׁי,vistete,livshi,,
בִּגְדֵי תִפְאַרְתֵּךְ,"con ropas de tu esplendor,",bigdei tifartej,,
עַמִּי.,pueblo mio.,ami,,
עַל יַד,Por mano de,al yad,,
בֶּן יִשַּׁי,"el hijo de Yishai,",ben Yishai,,
בֵּית הַלַּחְמִי.,"el de Beit Lejem,",beit ha-Lajmi,,
קָרְבָה אֶל נַפְשִׁי,acerca a mi alma,karvah el nafshi,,
גְּאָלָהּ:,su redencion.,gealah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
הִתְעוֹרְ֒רִי.,"Despierta,",hitoreri,,
הִתְעוֹרְ֒רִי.,"despierta,",hitoreri,,
כִּי בָא אוֹרֵךְ,porque vino tu luz;,ki va orej,,
קֽוּמִי,"levantate,",kumi,,
אֽוֹרִי.,ilumina.,ori,,
עֽוּרִי,"Despierta,",uri,,
עֽוּרִי,"despierta,",uri,,
שִׁיר דַּבֵּֽרִי.,pronuncia un canto;,shir daberi,,
כְּבוֹד יְהֹוָה,la gloria de Adonai,kevod Adonai,,
עָלַֽיִךְ נִגְלָה:,sobre ti fue revelada.,alaij niglah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
לֹא תֵבֽוֹשִׁי,"No te avergonzaras,",lo tevoshi,,
וְלֹא תִכָּלְ֒מִי.,y no seras humillada;,ve-lo tikalemi,,
מַה תִּשְׁתּוֹחֲחִי,"por que te abates,",mah tishtojaji,,
וּמַה תֶּהֱמִי.,y por que gimes?,u-mah tehemi,,
בָּךְ יֶחֱסוּ,En ti se refugiaran,baj yejesu,,
עֲנִיֵּי עַמִּי.,"los pobres de mi pueblo,",aniyei ami,,
וְנִבְנְ֒תָה עִיר,y sera reconstruida la ciudad,ve-nivnetah ir,,
עַל תִּלָּהּ:,sobre su colina.,al tilah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
וְהָיוּ לִמְשִׁסָּה,Y seran como botin,ve-hayu limshisah,,
שֹׁסָֽיִךְ.,los que te saquean;,shosaij,,
וְרָחֲקוּ,y se alejaran,ve-rajaku,,
כָּל מְבַלְּ֒עָֽיִךְ.,todos los que te devoran.,kol mevaleaj,,
יָשִׂישׂ עָלַֽיִךְ,Se alegrara por ti,yasis alaij,,
אֱלֹהָֽיִךְ.,"tu Dios,",Elohayij,,
כִּמְשׂוֹשׂ חָתָן,como se alegra un novio,ki-msos jatan,,
עַל כַּלָּה:,por [su] novia.,al kalah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
יָמִין וּשְׂמֹאל,A derecha e izquierda,yamin u-smol,,
תִּפְרֽוֹצִי.,"te extenderas,",tifrotzi,,
וְאֶת יְהֹוָה,y a Adonai,ve-et Adonai,,
תַּעֲרִֽיצִי.,reverenciaras.,taaritzi,,
עַל יַד,Por mano de,al yad,,
אִישׁ בֶּן פַּרְצִי.,"un hombre descendiente de Peretz,",ish ben Partzi,,
וְנִשְׂמְ֒חָה,y nos alegraremos,ve-nismejah,,
וְנָגִֽילָה:,y nos regocijaremos.,ve-nagilah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
בּֽוֹאִי בְשָׁלוֹם,"Ven en paz,",boi ve-shalom,,
עֲטֶֽרֶת בַּעְלָהּ.,corona de su esposo;,ateret baalah,,
גַּם בְּשִׂמְחָה,tambien con alegria,gam be-simjah,,
וּבְצָהֳלָה.,y con jubilo.,u-ve-tzahalah,,
תּוֹךְ אֱמוּנֵי,En medio de los fieles,toj emunei,,
עַם סְגֻלָּה.,"del pueblo preciado,",am segulah,,
בֹּֽאִי כַלָּה,"ven, novia,",boi kalah,,
בֹּֽאִי כַלָּה,"ven, novia,",boi kalah,,
בֹּֽאִי כַלָּה,"ven, novia,",boi kalah,,
שַׁבָּת מַלְכְּתָא:,Shabat reina.,Shabat malketa,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
